product_name,category,efresh_url,marketin_url,price_efresh,price_per_unit_efresh,description_efresh,image_url_efresh,price_marketin,price_per_unit_marketin,nutritional_info_marketin,scraped_from
3 ΑΛΦΑ Ρύζι Καρολίνα (500g),Ζυμαρικά & Ρύζι,https://www.e-fresh.gr/el/ryzi-karolina-3alfa-500-g,https://www.market-in.gr/el-gr/trofima-ruzia-ruzi-karolina/3alfa-ruzi-karolina-e-e-500gr,2.23,4.460 € / kg,"Το Ρύζι Καρολίνα 3αλφα είναι ιδανικό για γεμιστά και ριζότο. Το χρώμα του είναι λευκό και το σχήμα του μεσόσπερμο. Είναι προτιμητέο για φαγητά φούρνου.Απελευθερώνει πολύ άμυλο κατά το μαγείρεμα, χωρίς να λιώσει όμως, και έτσι μας δίνει φαγητό μελάτο και ζουμερό. Έχει χαρακτηριστικό λευκό χρώμα, που επιτυγχάνεται με τη λεύκανσή του, το ξύσιμο δηλαδή του εξωτερικού περιβλήματος μετά την αποφλοίωσή του. Το ρύζι έθρεψε και θρέφει εκατομμύρια ανθρώπους κυρίως στις ασιατικές χώρες ενώ οι ρίζες του συναντώνται στη μακρινή Ανατολή πριν από τουλάχιστον 5.000 χρόνια. Μονοκοτυλήδονο φυτό που ευδοκιμεί σε τροπικό και υποτροπικό κλίμα. Η καλλιέργεια του ρυζιού στην Ευρώπη πραγματοποιείται αποκλειστικά στις χώρες της Μεσογείου. Η καλλιέργεια του είναι η μεγαλύτερη από οποιοδήποτε άλλο γεωργικό προϊόν αν αναλογιστούμε ότι είναι η βασική τροφή για τα 3/5 του πλανήτη. Πηγή υδατανθράκων για τον οργανισμό, πρωτεϊνών και αμινοξέων. Τροφοδοτεί τον οργανισμό με ενέργεια ενώ οι πρωτείνες και τα αμινοξέα τον βοηθούν να αναδομηθεί με νέους μυϊκούς ιστούς και κύτταρα.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/2/4100001172/5201399020074-3alfa-ryzi-karolina-500gr.jpeg?id=1661781782,2.26,"4,52€ ανά κιλό","Διατροφικά Στοιχεία
Ενέργεια 1433kJ/338kcal
Λιπαρά 0,8gr
εκ των οποίων κορεσμένα 0,2 gr
Υδατάνθρακες 73 gr
εκ των οποίων σάκχαρα 0 gr
Πρωτεϊνες 8,6 gr
Αλάτι 0,05 gr","['efresh', 'marketin']"
ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ Κινόα με Λαχανικά Κατεψυγμένα (400g),Κατεψυγμένα Προϊόντα,https://www.e-fresh.gr/el/kinoa-me-laxanika-katepsygmena-mparmpa-stathhs-400g,https://www.market-in.gr/el-gr/katepsugmena-katapsuksh-katepsugmena-etoima-faghta/mparmpa-stathis-kinoa-me-laxanika-vegan-400gr,4.4,11.000 € / kg,Κινόα με Λαχανικά  Κατεψυγμένα.,https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/2/4100143372/kinoa.png?id=1664726789,2.99,"7,48€ ανά κιλό","Διατροφικά Στοιχεία
Ανά 100g
Ενέργεια	                  353kJ/84kcal
Λιπαρά	                               1,2g
εκ των οποίων κορεσμένα	               0,2g
Υδατάνθρακες	                      14g
εκ των οποίων σάκχαρα	               3,7g
Εδώδιμες ίνες	                       2,6g
Πρωτεΐνες	                       2,9g
Αλάτι	                               0,68g","['efresh', 'marketin']"
Χρυσή Ζύμη Τυροπιτάκια Σφολιάτας με φέτα & μυζήθρα (800g),Κατεψυγμένα Προϊόντα,https://www.e-fresh.gr/el/tyropitakia-me-feta-myzhthra-xrysh-zymh-800-g,https://www.market-in.gr/el-gr/katepsugmena-katapsuksh-katepsugmena-mini-pitakia/xrysi-zymi-tyropitakia-sfoliatas-800gr,4.84,6.050 € / kg,Πλούσια γέμιση από εκλεκτά υλικά για ένα λαχταριστό αποτέλεσμα! Συνθήκες Διατήρησης: Στο ψυγείο : 24 ώρες Σε κατάψυξη(**) -120C: 1 μήνα Σε καταψύκτη (***) -180C: Μέχρι την ημερομηνία λήξης Προσοχή: Μην καταψύχετε ένα αποψυγμένο προϊόν! Το προϊόν δεν ψήνεται σε φούρνο μικροκυμάτων.,https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/5/4100143355/5201231003852-1.png?id=1697725561,2.99,"3,74€ ανά κιλό","Διατροφικά Στοιχεία
Ανά 100g
Ενέργεια 1310kJ/314kcal
Λιπαρά 	19,6g
εκ των οποίων κορεσμένα 10,3g
Υδατάνθρακες 26,3g
εκ των οποίων σάκχαρα 3,2g
Εδώδιμες ίνες 1,7g
Πρωτεΐνες 7,3g
Αλάτι 	1,24g","['efresh', 'marketin']"
Elite Κράκερς Μεσογειακά με Φέτα & Ρίγανη (105g),Μπάρες & Σνακ,https://www.e-fresh.gr/el/mesogeiaka-crackers-me-feta-kai-riganh-elite-105-g,https://www.market-in.gr/el-gr/trofima-mpiskota-mpiskota-almura/elite-crackers-mesogeiaka-feta-riganh-105gr,1.59,15.143 € / kg,"Η Elite σας ταξιδεύει στον κόσμο της Φυσικής Απόλαυσης με τα Elite Crackers Μεσογειακά. Με εξαιρετικό παρθένο ελαιόλαδο και συστατικά εμπνευσμένα από τη Μεσογειακή διατροφή, είναι η ιδανική λύση για απολαυστικό και ισορροπημένο snacking. Elite Crackers Μεσογειακά. Η Φυσική μας Απόλαυση!",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/9/4100005139/159100_-_elite_med_crackers_105g_3d.png?id=1561383691,1.59,"15,14€ ανά κιλό",,"['efresh', 'marketin']"
Hungry Not Μπάρες Πρωτεΐνης με Σοκολάτα & Πραλίνα Φουντουκιού (3 x 45g),Μπάρες & Σνακ,https://www.e-fresh.gr/el/mpara-prwteinhs-me-sokolata-kai-pralina-foyntoykioy-hungry-not-3x45g,https://www.market-in.gr/el-gr/trofima-dhmhtriaka-dhmhtriaka-mpares/hungry-not-mpares-prote-nis-me-sokolata-pralina-fountoukiou-135gr,3.95,29.259 € / kg,"Ο σύγχρονος τρόπος ζωής έχει αλλάξει τις διατροφικές συνήθειες των καταναλωτών, οι οποίοι καταναλώνουν προϊόντα υγιεινά με βιταμίνες και θρεπτικά συστατικά προσπαθώντας να ενισχύσουν το ανοσοποιητικό τους σύστημα, μέσω μιας ισορροπημένης διατροφής. Επιλέγουν σνακ που τους παρέχουν την απαραίτητη ενέργεια και ωφελούν τον οργανισμό ανάμεσα στα κύρια γεύματα τους. Η ΣΔΟΥΚΟΣ Α.Ε. αναγνωρίζοντας τις ανάγκες, υιοθετεί νέες τεχνολογίες, παράγοντας τρόφιμα με αυξανόμενη διατροφική αξία και ασφάλεια, καλύπτοντας τις απαιτήσεις των καταναλωτών. Οι μπάρες #HungryNot προσφέρονται σε μεγάλη ποικιλία. Επιλέγονται από άτομα που προσέχουν τη διατροφή τους, αθλητές, υπαλλήλους γραφείου, μαθητές σχολείου ….ως σνακ σε κάθε περίσταση, προσφέρουν ενέργεια και θρεπτικά οφέλη (υψηλής ποιότητας πρωτεΐνες, μέταλλα, βιταμίνες και ίνες). *Συμβάλει στην αύξηση της μυϊκής μάζας, Έχει αποδειχθεί πως οι βιταμίνες Β6 και Β12 συμβάλουν στη μείωση της κούρασης και της κόπωσης.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/7/4100139597/hungrynotbar-protein-18g-praline-3d-set.png?id=1611750918,3.59,"26,59€ ανά κιλό",,"['efresh', 'marketin']"
Καραμολέγκος Ψωμί σε Φέτες Ζέας (500g),Αρτοσκευάσματα,https://www.e-fresh.gr/el/pswmi-se-fetes-karamolegkos-zeas-500g,https://www.market-in.gr/el-gr/trofima-artopoiia-psomi-se-fetes/karamolegkos-psomi-se-fetes-zeas-500gr,2.35,4.700 € / kg,Καραμολέγκος Ψωμί Τοστ Με Αλεύρι Ζέας Σε Πετρόμυλο 500g.,https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/1/4100147371/zeas.PNG?id=1713266221,1.59,"3,18€ ανά κιλό","Διατροφικά Στοιχεία
Ανά 100g
Ενέργεια 1111 kJ/263kcal
Λιπαρά 	4,2g
εκ των οποίων κορεσμένα 1,0g
Υδατάνθρακες 40,4g
εκ των οποίων σάκχαρα 2,9g
Εδώδιμες ίνες 5,3g
Πρωτεΐνες 13,3g
Αλάτι 1,26g
* Π.Π.Α.: Προσλαμβανόμενη Ποσότητα Αναφοράς ενός μέσου ενήλικα (8400kJ/2000kcal).","['efresh', 'marketin']"
Κάψουλες espresso Ristretto Jacobs (10 τεμ.),Καφές & Ροφήματα,https://www.e-fresh.gr/el/espresso-kapsoyles-ristretto-jacobs-10tem-53-g,https://www.market-in.gr/el-gr/trofima-proino-kafedes-rofhmata-se-kapsoules/jacobs-espresso-ristretto-kapsoules-sumvates-me-mhxanes-nespresso-10tem,3.79,0.379 € / τεμ,"Ζήστε μια έντονη εμπειρία espresso από τις νέες κάψουλες JACOBS espresso. Οι πρώτες κάψουλες αλουμινίου από τον JACOBS, συμβατές με μηχανές καφέ Nespresso ®. Για πιο έντονο espresso με ακόμα πιο πλούσια και απαλή κρέμα.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/5/4100005765/8711000371206-front.png?id=1734604217,3.99,"76,73€ ανά κιλό",,"['efresh', 'marketin']"
Lipton Τσάι Μαύρο Κανέλα Chai (20 τεμ.),Καφές & Ροφήματα,https://www.e-fresh.gr/el/tsai-mayro-kanela-chai-lipton-20-pyramides-x-17-g-1,https://www.market-in.gr/el-gr/ALL?Title=Lipton%C2%A0Chai+,3.19,93.824 € / kg,,https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/3/4100149023/019a-lipton-mt-pyr-chai-20t-01.jpeg?id=1729155541,,,,['efresh']
Ariel Κάψουλες Πλυντηρίου Ρούχων All In 1 Alpine (38 τεμ.),Απορρυπαντικά & Μαλακτικά Ρούχων,https://www.e-fresh.gr/el/kapsoyles-plynthrioy-royxwn-all-in-1-alpine-ariel-38-tem,https://www.market-in.gr/el-gr/kathariothta-aporrupantika-rouxon-aporrupantika-rouxon-tampletes/ariel-pods-all-in-1-alpine-38tem,11.01,0.290 € / τεμ,"Το Ariel, η προτεινόμενη μάρκα της Whirlpool Electrolux, Beko, παρουσιάζει τις κάψουλες πλυντηρίου Ariel Allin1 PODS Alpine, που απομακρύνουν τους δύσκολους λεκέδες και τις δυσάρεστες οσμές, ακόμη και σε χαμηλές θερμοκρασίες και σε κρύες πλύσεις. Έχουν σχεδιαστεί για να καθαρίζουν αποτελεσματικά ακόμα και σε χαμηλότερες θερμοκρασίες, διαλύονται γρήγορα ακόμα και σε κρύο νερό και παρέχουν άψογα αποτελέσματα. Τοποθετήστε πρώτα την κάψουλα στο πίσω μέρος του άδειου κάδου, και από πάνω τα ρούχα σας. ΠΡΟΕΙΔΟΠΟΙΗΣΗ: Tο προϊόν μπορεί να είναι επιβλαβές και να προκαλέσει σωματικές βλάβες. Kρατάτε πάντα τις κάψουλες πλυντηρίου Ariel Allin1 PODS μακριά από παιδιά. Για επιπλέον πληροφορίες επισκεφθείτε τo keepcapsfromkids.eu.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/440/3/4400004653/80834324-8700216803519-ariel-pods-allin1-alpine-4x38-pi.png?id=1744840384,10.35,"0,27€ ανά τεμάχιο",,"['efresh', 'marketin']"
Lenor Μαλακτικό Ρούχων Relax Floral Bouquet (82 Μεζ.),Απορρυπαντικά & Μαλακτικά Ρούχων,https://www.e-fresh.gr/el/malaktiko-royxwn-relax-floral-bouquet-lenor-82-mez,https://www.market-in.gr/el-gr/kathariothta-malaktika-rouxon-aposklhruntika-plu-malaktika-sumpuknomena/lenor-malaktiko-relax-floral-bouquet-82mez,5.61,0.068 € / μεζ,"Το μαλακτικό ρούχων Lenor Floral Bouquet προσφέρει άρωμα που διαρκεί 3X περισσότερο (σε σχέση με το Lenor Sensitive) για μικρές στιγμές χαλάρωσης όλη την ημέρα, χάρη στην τεχνολογία αρωματικού ελαίου. Απολαύστε τις χαρές της ζωής. Οι λουλουδάτες πινελιές της σαγηνευτικής φρέζιας σε συνδυασμό με μια ανατολική πικάντικη πινελιά σαφράν θα σας εμπνεύσουν να απολαύσετε κάθε στιγμή. Δοκιμάστε το μαζί με τις αντίστοιχες αρωματικές πέρλες Lenor για ακαταμάχητη απαλότητα και φρεσκάδα.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/440/3/4400004683/80830170-8700216751209-lenor-relax-floral-bouquet-6x82mez-pi.jpg?id=1744878690,5.49,"0,07€ ανά μεζούρα",,"['efresh', 'marketin']"
